127.0.0.1 - - [17/Apr/2020:11:03:20 +0300] "GET / HTTP/1.1" 404 709
0:0:0:0:0:0:0:1 - - [17/Apr/2020:11:03:26 +0300] "GET /DWPtoka/Kysy.jsp HTTP/1.1" 200 490
0:0:0:0:0:0:0:1 - - [17/Apr/2020:11:03:26 +0300] "GET /favicon.ico HTTP/1.1" 404 720
0:0:0:0:0:0:0:1 - - [17/Apr/2020:11:39:09 +0300] "GET /DWPtoka/Nayta.jsp HTTP/1.1" 500 2341
0:0:0:0:0:0:0:1 - - [17/Apr/2020:11:40:09 +0300] "POST /DWPtoka/nayta.jsp HTTP/1.1" 404 730
0:0:0:0:0:0:0:1 - - [17/Apr/2020:11:43:17 +0300] "GET /DWPtoka/Kysy.jsp HTTP/1.1" 200 490
0:0:0:0:0:0:0:1 - - [17/Apr/2020:11:43:17 +0300] "GET /favicon.ico HTTP/1.1" 404 720
0:0:0:0:0:0:0:1 - - [17/Apr/2020:11:43:32 +0300] "POST /DWPtoka/nayta.jsp HTTP/1.1" 404 730
0:0:0:0:0:0:0:1 - - [17/Apr/2020:11:43:32 +0300] "GET /favicon.ico HTTP/1.1" 404 720
0:0:0:0:0:0:0:1 - - [17/Apr/2020:11:43:42 +0300] "GET /DWPtoka/Kysy.jsp HTTP/1.1" 200 490
0:0:0:0:0:0:0:1 - - [17/Apr/2020:11:43:42 +0300] "GET /favicon.ico HTTP/1.1" 404 720
0:0:0:0:0:0:0:1 - - [17/Apr/2020:11:44:09 +0300] "POST /DWPtoka/nayta.jsp HTTP/1.1" 404 730
0:0:0:0:0:0:0:1 - - [17/Apr/2020:11:44:10 +0300] "GET /favicon.ico HTTP/1.1" 404 720
0:0:0:0:0:0:0:1 - - [17/Apr/2020:11:45:27 +0300] "GET /DWPtoka/Kysy.jsp HTTP/1.1" 200 490
0:0:0:0:0:0:0:1 - - [17/Apr/2020:11:45:28 +0300] "POST /DWPtoka/nayta.jsp HTTP/1.1" 404 730
0:0:0:0:0:0:0:1 - - [17/Apr/2020:12:00:16 +0300] "GET /DWPtoka/Kysy.jsp HTTP/1.1" 200 490
0:0:0:0:0:0:0:1 - - [17/Apr/2020:12:00:20 +0300] "POST /DWPtoka/Nayta.jsp HTTP/1.1" 200 394
0:0:0:0:0:0:0:1 - - [17/Apr/2020:12:00:20 +0300] "GET /DWPtoka/Scripts/main.js HTTP/1.1" 404 740
0:0:0:0:0:0:0:1 - - [17/Apr/2020:12:01:09 +0300] "GET /DWPtoka/Kysy.jsp HTTP/1.1" 200 490
0:0:0:0:0:0:0:1 - - [17/Apr/2020:12:01:11 +0300] "POST /DWPtoka/Nayta.jsp HTTP/1.1" 200 282
0:0:0:0:0:0:0:1 - - [17/Apr/2020:12:01:11 +0300] "GET /DWPtoka/Scripts/main.js HTTP/1.1" 404 740
0:0:0:0:0:0:0:1 - - [17/Apr/2020:12:23:55 +0300] "GET /DWPtoka/Kysy.jsp HTTP/1.1" 200 490
0:0:0:0:0:0:0:1 - - [17/Apr/2020:12:23:58 +0300] "POST /DWPtoka/Nayta.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [17/Apr/2020:12:23:58 +0300] "GET /DWPtoka/Kysy.jsp HTTP/1.1" 200 490
